#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-09-09T16:33:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d767ebcf079	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/131/1559&tab:{J/AJ/131/1559/table1}&key:source=J/AJ/131/1559&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/1559/table1
#-order=I
#-out=Seq
#-out=Name
#-out=l
#-out=Diam
#-out=R
#-out=Z
#-out=E(B-V)
#-out=logT
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51311559
#Name: J/AJ/131/1559
#Title: Diameters of Galactic open star clusters (van den Bergh+, 2006)
#Table	J_AJ_131_1559_table1:
#Name: J/AJ/131/1559/table1
#Title: Diameters of open clusters
#Column	Seq	(I3)	Running cluster number	[ucd=meta.record]
#Column	Name	(a11)	Cluster name	[ucd=meta.id;meta.main]
#Column	l	(I3)	Truncated Galactic longitude	[ucd=pos.galactic.lon]
#Column	Diam	(F5.2)	Cluster diameter	[ucd=pos.distance]
#Column	R	(I5)	Cluster distance from the Sun	[ucd=pos.distance]
#Column	Z	(I5)	Galactic plane scale height (1)	[ucd=instr.scale;pos.galactic]
#Column	E(B-V)	(F5.2)	? The reddening from photoelectric photometry	[ucd=phot.color.excess]
#Column	logT	(F5.2)	? Log of the cluster age (2)	[ucd=time.age]
#Column	SimbadName	(a20)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Seq|Name|l[deg]|Diam[pc]|R[pc]|Z[pc]|E(B-V)|logT[yr]|SimbadName|_RA[deg]|_Dec[deg]
 50|N6823      | 59| 3.30| 1893|   -5| 0.84| 6.82|NGC 6823            |295.79167|+23.29833
 51|N6830      | 60| 2.38| 1639|  -51| 0.50| 7.57|NGC 6830            |297.75000|+23.10000
 52|Stock 1    | 60| 7.45|  320|   13| 0.15|     |Cl Stock 1          |293.95000|+25.21667
 53|Turner 1   | 63| 1.95| 1675|   21| 0.48| 7.46|Cl Turner 1         |297.26667|+27.29833
 54|N7036      | 64| 1.16| 1000| -366| 0.10| 9.50|NGC 7036            |317.50833|+15.51833
 55|N6885      | 65| 1.74|  597|  -42| 0.08| 9.16|NGC 6885            |303.00000|+26.48333
 56|N6834      | 65| 3.01| 2067|   43| 0.71| 7.88|NGC 6834            |298.05000|+29.41667
 57|Stephen. 1 | 66| 2.27|  390|  104| 0.04| 7.73|Cl Stephenson 1     |283.50000|+36.81667
 58|Roslund 4  | 66| 2.65| 2510|  -56| 0.99| 7.45|Cl Roslund 4        |301.22500|+29.21667
 59|Alessi 12  | 67| 6.25|  537| -107| 0.08| 8.10|Cl Alessi 12        |310.82917|+23.77500
 60|Saurer 6   | 67| 4.89| 9330|  511| 0.77| 9.29|Cl Saurer 6         |297.75000|+32.25000
 61|N6940      | 69| 5.60|  770|  -96| 0.21| 8.86|NGC 6940            |308.60000|+28.28333
 62|N6791      | 69|17.03| 5853| 1107| 0.12| 9.64|NGC 6791            |290.22083|+37.77167
 63|Roslund 5  | 71| 5.66|  389|    2| 0.10| 7.83|Cl Roslund 5        |302.60000|+33.80000
 64|N6871      | 72|13.28| 1574|   56| 0.44| 6.96|NGC 6871            |301.50000|+35.78333
 65|Biurakan 2 | 72| 6.43| 1106|   26| 0.36| 7.01|Cl Biurakan 2       |302.30000|+35.48333
 66|N6819      | 73| 3.43| 2360|  348| 0.24| 9.17|NGC 6819            |295.32500|+40.18667
 67|Basel 6    | 74| 3.15| 1548|   89| 0.58| 7.98|Cl Basel 6          |301.70000|+38.35000
 68|I4996      | 75| 3.02| 1732|   39| 0.67| 6.95|IC 4996             |304.12500|+37.63333
 69|Berkeley 87| 75| 1.84|  633|    3| 1.37| 7.15|Cl Berkeley 87      |305.42921|+37.37050
 70|Dolidze 42 | 76| 1.98|  972|   18| 0.57| 7.54|Cl Dolidze 42       |304.92500|+38.13333
 71|Berkeley 86| 76| 1.94| 1112|   25| 0.90| 7.12|Cl Berkeley 86      |305.05000|+38.69000
 72|N6913      | 76| 3.34| 1148|   12| 0.74| 7.11|NGC 6913            |305.98333|+38.52333
 73|I1311      | 77| 7.76| 5333|  398| 0.76| 8.62|IC 1311             |302.57500|+41.21667
 74|N6910      | 78| 3.31| 1139|   40| 0.97| 7.13|NGC 6910            |305.78333|+40.77500
 75|N6811      | 79| 4.95| 1215|  253| 0.16| 8.80|NGC 6811            |294.29167|+46.37500
 76|N6866      | 79| 5.91| 1450|  173| 0.17| 8.58|NGC 6866            |300.97917|+44.15833
 77|N7063      | 83| 1.80|  689| -118| 0.09| 7.98|NGC 7063            |321.10000|+36.48333
 78|Berkeley 54| 83| 2.68| 2300| -166| 0.77| 9.60|Cl Berkeley 54      |315.80000|+40.46667
 79|N7044      | 85| 5.52| 3161| -229| 0.59| 9.28|NGC 7044            |318.25000|+42.48333
 80|N6996      | 86| 1.44|  620|    1| 0.54| 8.00|NGC 6996            |314.10417|+45.47000
 81|N7039      | 87| 3.87|  951|  -28| 0.13| 7.82|NGC 7039            |317.70000|+45.61667
 82|Basel 12   | 88| 1.71| 1466|  -32| 0.57| 8.50|Cl Basel 12         |317.62500|+46.23333
 83|Basel 14   | 88| 1.40|  964|  -60| 0.65| 8.30|Cl Basel 14         |320.32500|+44.81667
 84|Basel 13   | 88| 3.60| 1236|  -27| 0.34| 8.80|Cl Basel 13         |318.07500|+46.56667
 85|I1369      | 89| 3.03| 2083|  -15| 0.57| 8.64|IC 1369             |318.02500|+47.73333
 86|N7062      | 89| 2.15| 1480|  -71| 0.45| 8.46|NGC 7062            |320.82500|+46.38333
 87|Basel 15   | 90| 2.36| 1355|   -2| 0.67| 8.50|Cl Basel 15         |318.97500|+48.85000
 88|N7082      | 91|10.49| 1442|  -73| 0.24| 8.23|NGC 7082            |322.25000|+47.13333
 89|N7067      | 91| 1.16| 1332|  -39| 0.85| 7.49|NGC 7067            |321.05000|+48.01667
 90|N7031      | 91| 3.67|  900|   36| 0.85| 8.14|NGC 7031            |316.80333|+50.88194
 91|N7092      | 92| 2.75|  326|  -13| 0.01| 8.44|NGC 7092            |322.95000|+48.45000
 92|Platais 1  | 92| 3.69| 1268|  -36| 0.36| 8.24|Cl Platais 1        |322.50833|+48.97667
 93|I5146      | 94| 4.96|  852|  -82| 0.59| 8.02|IC 5146             |328.38333|+47.26833
 94|N7086      | 94| 4.53| 1298|    5| 0.81| 8.14|NGC 7086            |322.62500|+51.58333
 95|N7209      | 95| 4.76| 1168| -149| 0.17| 8.62|NGC 7209            |331.32500|+46.48333
 96|N6939      | 95| 3.45| 1185|  253| 0.32| 9.35|NGC 6939            |307.87500|+60.66167
 97|N7128      | 97| 2.68| 2307|   17| 1.02| 7.25|NGC 7128            |326.00000|+53.71667
 98|N7243      | 98| 6.82|  808|  -78| 0.22| 8.06|NGC 7243            |333.77500|+49.90000
 99|Trumpler 37| 99|21.61|  835|   54| 0.47| 7.05|Cl Trumpler 37      |324.53625|+57.44667
100|I1442      |101| 3.41| 2346|  -90| 0.54| 6.98|IC 1442             |334.12500|+54.05000
101|N7245      |101| 3.06| 2106|  -68| 0.47| 8.25|NGC 7245            |333.82500|+54.33333
102|N7226      |101| 1.52| 2616|  -27| 0.54| 8.44|NGC 7226            |332.62500|+55.41667
103|N7235      |102| 4.11| 2823|   39| 0.93| 7.07|NGC 7235            |333.10000|+57.26667
104|N7772      |102| 1.31| 1500|-1047| 0.03| 9.17|NGC 7772            |357.94167|+16.24667
105|Berkeley 94|103| 2.30| 2630|  -54| 0.61| 7.00|Cl Berkeley 94      |335.72500|+55.87333
106|Berkeley 96|103| 1.80| 3087| -111| 0.63| 6.82|Cl Berkeley 96      |337.47083|+55.40833
107|N7160      |104| 1.15|  789|   89| 0.38| 7.28|NGC 7160            |328.40000|+62.60000
108|N7261      |104| 2.44| 1681|   27| 0.97| 7.67|NGC 7261            |335.10000|+58.08333
109|Berkeley 93|105| 3.26| 5600|  713| 1.50| 8.00|Cl Berkeley 93      |329.05000|+63.93333
110|N7142      |105| 5.89| 1686|  278| 0.40| 9.28|NGC 7142            |326.28750|+65.77500
111|Pismis-M 1 |106| 1.57|  900|   83|     |     |NAME PISMIS-MORENO 1|334.70000|+63.26667
112|N7380      |107|12.93| 2222|  -34| 0.60| 7.08|NGC 7380            |341.77500|+58.11667
113|King 10    |108| 3.93| 3379|  -23| 1.14| 7.45|Cl King 10          |343.72500|+59.16667
114|N7419      |109| 2.01| 1382|   27| 1.83| 7.28|NGC 7419            |343.57500|+60.83333
115|Colin. 285 |109| 9.90|   25|   18| 0.00| 8.30|Cl Collinder 285    |220.22500|+69.56667
116|King 19    |110| 2.86| 1967|    5| 0.55| 8.56|Cl King 19          |347.07500|+60.51667
117|N7510      |110| 3.62| 2075|    2| 0.86| 7.58|NGC 7510            |347.75000|+60.56667
118|Markar. 50 |111| 1.23| 2114|   -8| 0.81| 7.10|Mrk 50              |185.85058|+02.67911
119|N7654      |112| 6.20| 1421|   11| 0.65| 7.76|NGC 7654            |351.20000|+61.58333
120|Stock 17   |115| 0.62| 2144|   10| 0.74| 6.78|Cl Stock 17         |356.50000|+62.18333
121|N7789      |115|16.99| 2337| -219| 0.22| 9.24|NGC 7789            |359.35000|+56.70833
122|King 21    |115| 2.45| 2103|   25| 0.89| 7.16|Cl King 21          |357.47500|+62.71667
123|Berkeley 99|115| 7.13| 4900|  860| 0.30| 9.50|Cl Berkeley 99      |350.40000|+71.75000
124|King 12    |116| 2.08| 2378|   -5| 0.59| 7.04|Cl King 12          |358.25000|+61.96667
125|N7788      |116| 2.76| 2374|  -32| 0.28| 7.59|NGC 7788            |359.20000|+61.40000
126|N7790      |116| 4.28| 2944|  -52| 0.53| 7.75|NGC 7790            |359.60000|+61.21667
127|Berkeley 58|116| 5.40| 3715|  -84| 0.55| 8.40|Cl Berkeley 58      |000.00000|+60.96667
128|King 11    |117| 4.21| 2892|  326| 1.27| 9.05|Cl King 11          |356.95000|+68.63333
129|N7762      |117| 3.03|  744|   76| 0.71| 8.42|NGC 7762            |357.45000|+68.03333
130|Berkeley 60|118| 3.81| 4365| -125| 0.86| 8.20|Cl Berkeley 60      |004.42250|+60.96111
131|Berkeley 2 |119| 3.05| 5250| -211| 0.80| 8.90|Cl Berkeley 2       |006.32500|+60.40000
132|N103       |119| 3.52| 3026|  -73| 0.41| 8.13|NGC 103             |006.32500|+61.35000
133|N129       |120| 8.98| 1625|  -72| 0.55| 7.89|NGC 129             |007.50000|+60.21667
134|N136       |120| 1.79| 4093|  -91| 0.56| 8.30|NGC 136             |007.87500|+61.53333
135|N133       |120| 1.28|  630|    6| 0.60| 7.00|NGC 133             |007.80000|+63.36667
136|King 14    |120| 4.53| 2593|   17| 0.41| 7.92|Cl King 14          |007.97500|+63.16667
137|King 15    |120| 2.76| 3162|  -51| 0.70| 8.40|Cl King 15          |008.23250|+61.85944
138|N146       |120| 6.17| 3032|   27| 0.48| 7.82|NGC 146             |008.27500|+63.30000
139|N189       |121| 0.66|  752|  -23| 0.42| 7.00|NGC 189             |009.90000|+61.06667
140|Stock 24   |121| 4.10| 2818|  -44| 0.50| 8.08|Cl Stock 24         |009.92500|+61.95000
141|N225       |122| 2.29|  657|  -12| 0.27| 8.11|NGC 225             |010.92500|+61.78333
142|N188       |122|10.12| 2047|  780| 0.08| 9.63|NGC 188             |012.10833|+85.25500
143|King 2     |122| 8.36| 5750| -470| 0.31| 9.78|Cl King 2           |012.75000|+58.18333
144|I1590      |123|24.80| 2940| -320| 0.32| 6.54|IC 1590             |013.20000|+56.63333
145|Alessi 1   |123| 4.22|  302|  -69| 0.09| 8.20|Cl Alessi 1         |013.25000|+49.55000
146|Berkeley 62|123| 2.67| 1837|   35| 0.85| 7.18|Cl Berkeley 62      |015.25000|+63.95000
147|N366       |124| 1.82| 1785|  -18| 1.26| 7.41|NGC 366             |016.62500|+62.23333
148|N381       |124| 2.00| 1148|  -24| 0.40| 8.50|NGC 381             |017.08292|+61.58389
149|N433       |125| 1.35| 2323| -106| 0.86| 7.50|NGC 433             |018.80000|+60.13333
150|N436       |126| 4.38| 3014| -205| 0.46| 7.93|NGC 436             |018.90000|+58.81667
151|N457       |126|14.13| 2429| -186| 0.47| 7.32|NGC 457             |019.91667|+58.28833
152|N559       |127| 2.20| 1258|   16| 0.79| 7.75|NGC 559             |022.34000|+63.28000
153|Colind.463 |127| 5.92|  702|  117| 0.26| 8.37|Cl Collinder 463    |026.72500|+71.80000
154|N609       |127| 3.47| 3981|  145| 0.35| 9.23|NGC 609             |024.10375|+64.53667
155|N581       |128| 3.19| 2194|  -69| 0.38| 7.34|NGC 581             |023.35000|+60.65000
156|Trumpler 1 |128| 2.24| 2563|  -51| 0.58| 7.48|Cl Trumpler 1       |023.92500|+61.28333
157|Platais 2  |128|19.61|  201| -102|     | 8.60|Cl Platais 2        |018.45833|+32.02833
158|N637       |128| 1.88| 2160|   65| 0.63| 6.98|NGC 637             |025.77500|+64.03333
159|N654       |129| 2.97| 2041|  -13| 0.87| 7.15|NGC 654             |026.00000|+61.88333
160|N659       |129| 2.82| 1938|  -53| 0.65| 7.55|NGC 659             |026.10000|+60.66667
161|N663       |129| 7.95| 1952|  -32| 0.78| 7.21|NGC 663             |026.55000|+61.23333
162|I166       |130| 8.08| 3970|  -13| 1.05| 8.63|IC 166              |028.12500|+61.83333
163|Berkeley 7 |130| 2.99| 2570|   17| 0.80| 6.60|Cl Berkeley 7       |028.55000|+62.36667
164|Berkeley 64|131| 2.32| 3981|  320| 1.05| 9.00|Cl Berkeley 64      |035.26167|+65.89667
165|N744       |132| 1.76| 1207| -130| 0.38| 8.25|NGC 744             |029.65000|+55.46667
166|Stock 2    |133| 3.97|  303|  -10| 0.38| 8.23|Cl Stock 2          |033.60000|+59.26667
167|Basel 10   |134| 1.13| 1944|  -89| 0.77| 7.61|Cl Basel 10         |034.70000|+58.31667
168|N869       |134|10.89| 2079| -136| 0.58| 7.07|NGC 869             |034.77500|+57.15000
169|Stock 7    |134| 1.02|  698|    0| 0.61| 7.21|Cl Stock 7          |037.40000|+60.71667
170|I1805      |134|10.97| 1886|   30| 0.82| 6.82|IC 1805             |038.17500|+61.45000
171|N884       |135|12.28| 2345| -146| 0.56| 7.03|NGC 884             |035.50000|+57.13333
172|Czernik 13 |135| 4.61| 3961|  160| 0.76| 6.85|Cl Czernik 13       |041.17500|+62.35000
173|N1027      |135| 4.49|  772|   21| 0.32| 8.20|NGC 1027            |040.65000|+61.63333
174|Czernik 8  |135| 0.82| 1409|  -39| 0.80| 7.90|Cl Czernik 8        |038.25000|+58.73333
175|Berkeley 65|135| 3.31| 2274|   11| 1.12| 7.00|Cl Berkeley 65      |039.75000|+60.41667
176|King 4     |136| 4.61| 3172|  -66| 0.86| 7.60|Cl King 4           |038.92500|+59.00000
177|N957       |136| 5.28| 1815|  -84| 0.84| 7.04|NGC 957             |038.35000|+57.56667
178|N752       |137| 9.97|  457| -180| 0.03| 9.05|NGC 752             |029.42083|+37.78500
179|I1848      |137|10.48| 2002|   32| 0.60| 6.84|IC 1848             |042.33750|+60.63417
180|Trumpler 2 |137| 3.22|  651|  -44| 0.32| 8.17|Cl Trumpler 2       |039.22500|+55.91667
181|Platais 3  |139|10.18|  161|   45|     | 8.60|Cl Platais 3        |070.40417|+71.23667
182|Berkeley 66|139| 6.05| 5200|   20| 1.25| 9.70|Cl Berkeley 66      |046.07500|+58.76667
183|N1220      |143| 2.09| 1800| -124| 0.70| 7.78|NGC 1220            |047.92500|+53.33333
184|King 6     |143| 2.53|  871|   -1| 0.50| 8.34|Cl King 6           |052.01458|+56.45833
185|N1039      |143| 5.08|  499| -134| 0.07| 8.25|NGC 1039            |040.52500|+42.76667
186|N1502      |143| 1.91|  821|  109| 0.76| 7.05|NGC 1502            |061.97500|+62.33333
187|King 5     |143| 2.76| 1900| -142|     | 9.00|Cl King 5           |048.65000|+52.71667
188|N1245      |146| 7.53| 2876| -446| 0.30| 8.70|NGC 1245            |048.67500|+47.25000
189|N1193      |146| 3.75| 4300| -909| 0.12| 9.90|NGC 1193            |046.38333|+44.38333
190|Melotte 20 |146|16.12|  185|  -23| 0.09| 7.85|Cl Melotte 20       |051.50000|+49.11667
191|I361       |147| 1.87| 1070|  106| 1.12| 7.72|IC 361              |064.75000|+58.30000
192|N1444      |148| 1.40| 1199|  -27| 0.71| 7.96|NGC 1444            |057.35000|+52.66667
193|King 7     |149| 4.48| 2200|  -39| 1.25| 8.80|Cl King 7           |059.75000|+51.80000
194|N1496      |149| 1.43| 1230|    4| 0.45| 8.80|NGC 1496            |061.10000|+52.61667
195|Waterloo 1 |151| 6.40| 4400|  137| 0.90|     |Cl Waterloo 1       |064.88717|+52.97822
196|N1528      |152| 3.61|  776|    3| 0.26| 8.57|NGC 1528            |063.85000|+51.21667
197|Alessi 2   |152| 4.37|  501|   55| 0.18| 8.50|Cl Alessi 2         |071.60000|+55.25000
198|N1513      |152| 3.84| 1320|  -36| 0.67| 8.11|NGC 1513            |062.65000|+49.51667
199|N1545      |153| 3.72|  711|    2| 0.30| 8.45|NGC 1545            |065.22500|+50.25000
200|N1342      |154| 2.90|  665| -176| 0.32| 8.66|NGC 1342            |053.31029|+37.41786
201|Berkeley 11|157| 4.19| 2881| -183| 0.95| 7.72|Cl Berkeley 11      |065.15000|+44.91667
202|N1605      |158| 4.47| 2552|  -71| 0.97| 7.61|NGC 1605            |068.75000|+45.25000
203|Rupr. 148  |160| 3.52| 3028|  -21| 0.70| 7.72|Cl Ruprecht 148     |071.64537|+44.70978
204|I348       |160| 0.78|  385| -117| 0.93| 7.64|IC 348              |056.14167|+32.16333
205|Berkeley 12|161| 3.68| 3162| -110| 0.70| 9.67|Cl Berkeley 12      |071.15583|+42.67722
206|N1664      |161| 3.14| 1199|   -9| 0.25| 8.46|NGC 1664            |072.80000|+43.66667
207|Berkeley 69|162| 5.86| 1678|  -70| 0.67| 8.39|Cl Berkeley 69      |081.15000|+32.65000
208|Berkeley 14|162| 8.00| 5500|   68| 0.52| 9.20|Cl Berkeley 14      |075.10000|+43.48333
209|Berkeley 18|163|20.25| 5800|  507| 0.46| 9.63|Cl Berkeley 18      |080.55000|+45.40000
210|Melotte 22 |166| 5.23|  150|  -60| 0.03| 8.13|Cl Melotte 22       |056.85000|+24.11667
211|Berkeley 70|166| 7.26| 4158|  260| 0.48| 9.67|Cl Berkeley 70      |081.43583|+41.89583
212|Czernik 20 |168| 3.92| 3370|   78| 0.42| 7.17|Cl Czernik 20       |080.02500|+39.46667
213|Waterloo 2 |168| 0.66|  570|   31| 0.17|     |Cl Waterloo 2       |082.00417|+40.37167
214|N1778      |168| 3.42| 1469|  -52| 0.34| 8.16|NGC 1778            |077.00000|+37.01667
215|Stock 10   |171| 2.76|  380|   24| 0.06| 8.35|Cl Stock 10         |084.75000|+37.93333
216|N1912      |172| 6.20| 1066|   13| 0.25| 8.46|NGC 1912            |082.17917|+35.85500
217|N1907      |172| 3.17| 1556|    8| 0.42| 8.57|NGC 1907            |082.02500|+35.32500
218|Stock 8    |173| 7.42| 1821|   -9| 0.44| 7.06|Cl Stock 8          |082.05000|+34.41667
219|N1893      |173|10.50| 3280|  -96| 0.58| 7.03|NGC 1893            |080.67500|+33.41667
220|N1931      |173| 4.49| 3086|   15| 0.74| 7.00|NGC 1931            |082.86083|+34.24944
222|N1960      |174| 3.83| 1318|   25| 0.22| 7.47|NGC 1960            |084.05000|+34.14000
223|N2281      |174| 4.06|  558|  162| 0.06| 8.55|NGC 2281            |102.07500|+41.08333
224|Berkeley 17|175| 5.50| 2700| -172| 0.70|10.08|Cl Berkeley 17      |080.15000|+30.60000
225|King 8     |176| 7.45| 6403|  346| 0.58| 8.62|Cl King 8           |087.35000|+33.63333
